epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,1624.86,1.1622,0.84505,1.2171,0.66421,0.67347,0.65145,0.37515,1.48407,1.15883,1.53623,0.00120445,0.00120445,0.00120445
55,1654.61,1.13941,0.82171,1.2125,0.66298,0.7146,0.66763,0.37092,1.55348,1.24401,1.59049,0.0011951,0.0011951,0.0011951
56,1684.2,1.15357,0.8364,1.22154,0.69204,0.69626,0.67139,0.3788,1.51897,1.18395,1.5602,0.00118575,0.00118575,0.00118575
57,1714.03,1.144,0.80152,1.21129,0.60882,0.73322,0.66559,0.394,1.47878,1.20066,1.5196,0.0011764,0.0011764,0.0011764
58,1744.57,1.12028,0.81184,1.19245,0.64006,0.66206,0.63833,0.36173,1.54697,1.27573,1.57827,0.00116705,0.00116705,0.00116705
59,1774.47,1.13996,0.83686,1.2062,0.63136,0.7231,0.67548,0.40046,1.45304,1.13704,1.51489,0.0011577,0.0011577,0.0011577
60,1804.39,1.11831,0.81356,1.1902,0.65746,0.73319,0.67818,0.39284,1.50798,1.13611,1.56605,0.00114835,0.00114835,0.00114835
61,1834.58,1.10348,0.78663,1.19203,0.67302,0.71168,0.66773,0.37842,1.50792,1.13823,1.54612,0.001139,0.001139,0.001139
62,1864.65,1.0823,0.76247,1.18754,0.64294,0.66873,0.65483,0.38702,1.51804,1.17897,1.57998,0.00112965,0.00112965,0.00112965
63,1894.28,1.08885,0.77661,1.16963,0.65362,0.65875,0.62083,0.3639,1.51061,1.36992,1.54782,0.0011203,0.0011203,0.0011203
64,1924.54,1.12721,0.79508,1.18312,0.63314,0.69378,0.64859,0.38268,1.49938,1.18583,1.53537,0.00111095,0.00111095,0.00111095
65,1954.66,1.08306,0.7671,1.18873,0.60214,0.725,0.67699,0.40027,1.46295,1.229,1.51554,0.0011016,0.0011016,0.0011016
66,1984.23,1.09015,0.77502,1.16666,0.64963,0.67826,0.67227,0.39642,1.47441,1.14854,1.54083,0.00109225,0.00109225,0.00109225
67,2013.83,1.06834,0.75496,1.16073,0.62256,0.7029,0.65919,0.39187,1.49915,1.14625,1.57007,0.0010829,0.0010829,0.0010829
68,2044.3,1.04321,0.7209,1.14571,0.63486,0.69108,0.65692,0.38499,1.508,1.31382,1.57498,0.00107355,0.00107355,0.00107355
69,2073.73,1.03516,0.73609,1.14588,0.6908,0.66722,0.66095,0.39135,1.52125,1.21786,1.57155,0.0010642,0.0010642,0.0010642
70,2103.4,1.04888,0.73024,1.13778,0.62106,0.71208,0.65484,0.39214,1.48254,1.16831,1.55559,0.00105485,0.00105485,0.00105485
71,2133.74,1.04393,0.72884,1.14457,0.64077,0.65029,0.6368,0.37594,1.54184,1.27876,1.61211,0.0010455,0.0010455,0.0010455
72,2163.21,1.0131,0.70146,1.13713,0.63256,0.73635,0.67709,0.39025,1.53208,1.17147,1.57214,0.00103615,0.00103615,0.00103615
73,2192.55,1.04185,0.73509,1.14157,0.62317,0.68672,0.64654,0.38737,1.47712,1.26016,1.54149,0.0010268,0.0010268,0.0010268
74,2222.12,1.05808,0.7377,1.15675,0.7204,0.59871,0.63797,0.36581,1.53978,1.24216,1.58612,0.00101745,0.00101745,0.00101745
75,2252.69,1.01909,0.71307,1.13482,0.6726,0.70793,0.68113,0.41046,1.4792,1.19246,1.56981,0.0010081,0.0010081,0.0010081
76,2282.29,1.01195,0.70109,1.12477,0.66113,0.64332,0.65407,0.39189,1.44669,1.2431,1.53521,0.00099875,0.00099875,0.00099875
77,2311.95,1.01532,0.71935,1.12746,0.66157,0.71423,0.6726,0.3955,1.49342,1.1901,1.6016,0.0009894,0.0009894,0.0009894
78,2342.31,0.99438,0.67975,1.11429,0.64617,0.68088,0.63207,0.3734,1.49542,1.23047,1.5943,0.00098005,0.00098005,0.00098005
79,2372.27,0.99611,0.69312,1.12894,0.70045,0.70761,0.68003,0.39892,1.50428,1.1796,1.60207,0.0009707,0.0009707,0.0009707
80,2401.66,0.98652,0.67562,1.11814,0.63068,0.72349,0.67488,0.38859,1.5509,1.22018,1.62556,0.00096135,0.00096135,0.00096135
81,2432.68,1.00023,0.6974,1.1178,0.66304,0.71722,0.67118,0.39608,1.49471,1.20643,1.58696,0.000952,0.000952,0.000952
82,2462.31,0.97602,0.65381,1.10485,0.67462,0.67382,0.67571,0.39084,1.51208,1.18686,1.63779,0.00094265,0.00094265,0.00094265
83,2491.73,0.97152,0.65925,1.1211,0.65957,0.69201,0.66565,0.38751,1.51455,1.21271,1.63992,0.0009333,0.0009333,0.0009333
84,2521.38,0.9598,0.65515,1.10568,0.70086,0.67463,0.69111,0.41219,1.48223,1.11295,1.56277,0.00092395,0.00092395,0.00092395
85,2552.06,0.98102,0.65772,1.11198,0.67433,0.69975,0.67144,0.40368,1.47831,1.16165,1.56425,0.0009146,0.0009146,0.0009146
86,2581.86,0.96797,0.64936,1.10077,0.67507,0.67691,0.68081,0.40849,1.49439,1.2086,1.582,0.00090525,0.00090525,0.00090525
87,2611.54,0.95501,0.65403,1.09429,0.67167,0.7404,0.7105,0.41877,1.50818,1.13629,1.62615,0.0008959,0.0008959,0.0008959
88,2642.13,0.9357,0.67193,1.08922,0.62505,0.7404,0.67836,0.4001,1.52781,1.24752,1.62658,0.00088655,0.00088655,0.00088655
89,2671.5,0.96908,0.65492,1.0932,0.64726,0.69794,0.67194,0.39692,1.50029,1.25838,1.61462,0.0008772,0.0008772,0.0008772
90,2701.34,0.98368,0.67355,1.11837,0.63414,0.69809,0.65186,0.37362,1.52861,1.23532,1.61811,0.00086785,0.00086785,0.00086785
91,2731.76,0.93949,0.63476,1.07726,0.67867,0.69198,0.66641,0.38841,1.5508,1.25915,1.63396,0.0008585,0.0008585,0.0008585
92,2761.61,0.93452,0.64687,1.08402,0.65425,0.67752,0.66744,0.40023,1.50147,1.24304,1.62308,0.00084915,0.00084915,0.00084915
93,2790.74,0.91389,0.6295,1.06687,0.61252,0.74959,0.67309,0.38307,1.51349,1.23323,1.6165,0.0008398,0.0008398,0.0008398
94,2819.83,0.91747,0.62338,1.07997,0.65235,0.65988,0.62756,0.36164,1.53651,1.30953,1.63042,0.00083045,0.00083045,0.00083045
95,2850.72,0.95281,0.64602,1.08886,0.64399,0.67344,0.63896,0.36683,1.52957,1.25469,1.63178,0.0008211,0.0008211,0.0008211
96,2880.58,0.91718,0.64715,1.08737,0.63478,0.66759,0.63406,0.36937,1.52598,1.3436,1.60624,0.00081175,0.00081175,0.00081175
97,2910.52,0.92239,0.62416,1.07926,0.66533,0.69214,0.6513,0.3853,1.50594,1.26994,1.62245,0.0008024,0.0008024,0.0008024
98,2939.76,0.88468,0.60137,1.06258,0.69596,0.6319,0.65412,0.39397,1.51161,1.35943,1.61974,0.00079305,0.00079305,0.00079305
99,2970.33,0.91459,0.60853,1.08282,0.65759,0.69106,0.65298,0.38442,1.50902,1.2923,1.63608,0.0007837,0.0007837,0.0007837
100,2999.83,0.91599,0.62735,1.07895,0.65887,0.70288,0.65067,0.39143,1.49287,1.32606,1.59621,0.00077435,0.00077435,0.00077435
101,3029.26,0.87349,0.59466,1.05452,0.66526,0.7014,0.66074,0.39015,1.48503,1.29798,1.59551,0.000765,0.000765,0.000765
102,3058.9,0.89442,0.60755,1.07471,0.74678,0.66569,0.6645,0.38833,1.50189,1.25242,1.62614,0.00075565,0.00075565,0.00075565
103,3089.16,0.86713,0.58289,1.05709,0.67819,0.67037,0.65131,0.38119,1.50499,1.30748,1.58627,0.0007463,0.0007463,0.0007463
104,3118.67,0.88638,0.59883,1.05898,0.70873,0.6753,0.67789,0.39266,1.53204,1.28359,1.6545,0.00073695,0.00073695,0.00073695
105,3148.3,0.8672,0.60257,1.04755,0.62545,0.68961,0.64399,0.38167,1.51122,1.29323,1.64133,0.0007276,0.0007276,0.0007276
106,3178.69,0.88358,0.59115,1.06044,0.6401,0.67604,0.65887,0.39052,1.52924,1.34659,1.66388,0.00071825,0.00071825,0.00071825
107,3208.31,0.87878,0.59389,1.05999,0.6873,0.66412,0.63385,0.37376,1.51298,1.33665,1.61896,0.0007089,0.0007089,0.0007089
108,3237.63,0.87567,0.58188,1.05867,0.72286,0.68211,0.68833,0.40024,1.50234,1.17092,1.6322,0.00069955,0.00069955,0.00069955
109,3267.6,0.87661,0.58572,1.05239,0.65566,0.72214,0.68022,0.40246,1.52771,1.25464,1.66946,0.0006902,0.0006902,0.0006902
110,3299.18,0.83033,0.55011,1.03038,0.66663,0.69369,0.65337,0.39171,1.49627,1.32921,1.62099,0.00068085,0.00068085,0.00068085
111,3328.22,0.82174,0.5575,1.02666,0.70422,0.65177,0.65897,0.39087,1.49666,1.30843,1.63645,0.0006715,0.0006715,0.0006715
112,3357.98,0.82693,0.55937,1.03552,0.61428,0.69915,0.64421,0.37877,1.51192,1.3386,1.63753,0.00066215,0.00066215,0.00066215
113,3388.99,0.83813,0.56362,1.04303,0.64871,0.72863,0.64415,0.37304,1.52648,1.35934,1.6797,0.0006528,0.0006528,0.0006528
114,3418.49,0.84471,0.55862,1.02415,0.69809,0.67591,0.6853,0.39855,1.54269,1.23789,1.65965,0.00064345,0.00064345,0.00064345
115,3448.05,0.85505,0.5664,1.03936,0.70285,0.68664,0.67048,0.39999,1.50316,1.22054,1.61978,0.0006341,0.0006341,0.0006341
116,3477.85,0.84705,0.57105,1.03696,0.65991,0.71988,0.65005,0.38572,1.50882,1.23595,1.64503,0.00062475,0.00062475,0.00062475
117,3508.44,0.84903,0.55505,1.04275,0.68335,0.65823,0.63338,0.38011,1.49667,1.31877,1.62843,0.0006154,0.0006154,0.0006154
118,3538.28,0.835,0.55197,1.04308,0.63792,0.75154,0.65897,0.39499,1.50396,1.25203,1.64218,0.00060605,0.00060605,0.00060605
119,3568.88,0.827,0.54858,1.03873,0.68112,0.69504,0.66193,0.39944,1.48308,1.28433,1.63245,0.0005967,0.0005967,0.0005967
120,3599.15,0.80575,0.52603,1.0225,0.73789,0.65496,0.68133,0.40833,1.47735,1.19202,1.63587,0.00058735,0.00058735,0.00058735
121,3628.79,0.80997,0.52607,1.03271,0.6979,0.69995,0.68368,0.40484,1.46927,1.17229,1.66075,0.000578,0.000578,0.000578
122,3658.41,0.81245,0.5428,1.0302,0.66332,0.68102,0.67123,0.40999,1.48881,1.25895,1.66174,0.00056865,0.00056865,0.00056865
123,3689.24,0.78186,0.50882,1.01764,0.65629,0.74314,0.68212,0.41705,1.46134,1.23775,1.63144,0.0005593,0.0005593,0.0005593
124,3718.95,0.79684,0.53403,1.01781,0.65068,0.74948,0.67832,0.40132,1.47085,1.22254,1.62424,0.00054995,0.00054995,0.00054995
